# time,x,y,z,vx,vy,vz,ax,ay,az,errx,erry,errz
0.6420000,-39.8922000,-43.3499000,0.7595190,-0.0133595,0.0019798,0.0231249,-2.2733600,-0.9927930,0.9201350,0.0004779,-0.0007699,-0.7595190
0.6510000,-39.8923000,-43.3498000,0.7597980,-0.0074561,0.0051994,0.0347764,-0.5347690,0.4676990,1.7122800,0.0004619,-0.0008592,-0.7597980
0.6600000,-39.8924000,-43.3498000,0.7601400,-0.0055024,0.0047782,0.0403835,1.0264700,0.0856626,2.7653700,0.0005248,-0.0009048,-0.7601400
0.6720000,-39.8924000,-43.3498000,0.7604030,-0.0035467,0.0016480,0.0169627,2.6522100,0.6685140,5.1004400,0.0005158,-0.0009595,-0.7604030
0.6810000,-39.8925000,-43.3498000,0.7605420,-0.0039028,-0.0021190,0.0131335,2.6074400,-2.0787500,-0.9669820,0.0005818,-0.0009659,-0.7605420
0.6900000,-39.8925000,-43.3497000,0.7606560,-0.0007645,0.0039474,0.0157964,0.2414720,0.0133102,2.7505400,0.0006057,-0.0009885,-0.7606560
0.7020000,-39.8925000,-43.3497000,0.7607390,0.0012610,0.0022677,-0.0026231,0.3061300,1.0253900,-2.3878400,0.0005931,-0.0009962,-0.7607390
0.7110000,-39.8925000,-43.3497000,0.7607650,0.0025317,0.0009718,0.0092022,0.9372300,0.1223120,2.5393400,0.0005834,-0.0010072,-0.7607650
0.7200000,-39.8925000,-43.3497000,0.7608640,0.0013148,0.0018348,0.0142309,-0.0195343,0.5522350,2.5977400,0.0005679,-0.0010152,-0.7608640
0.7320000,-39.8925000,-43.3497000,0.7609390,0.0009862,-0.0003067,0.0029041,0.7449320,0.3447360,0.3313670,0.0005599,-0.0010094,-0.7609390
0.7410000,-39.8925000,-43.3497000,0.7609110,0.0025446,0.0009789,-0.0016027,0.5371320,0.6987370,1.1294800,0.0005445,-0.0010089,-0.7609110
0.7500000,-39.8925000,-43.3497000,0.7608850,0.0007298,0.0009620,0.0008674,0.6044670,0.5712000,1.6948800,0.0005428,-0.0010111,-0.7608850
0.7620000,-39.8925000,-43.3497000,0.7609890,0.0004071,0.0005923,0.0116986,0.2029260,0.5994520,-0.5814540,0.0005368,-0.0010100,-0.7609890
0.7710000,-39.8925000,-43.3497000,0.7610420,-0.0000353,0.0003274,0.0077971,-0.5789790,0.0451214,0.3225370,0.0005328,-0.0010115,-0.7610420
0.7800000,-39.8925000,-43.3497000,0.7610850,0.0028980,0.0004000,0.0007740,0.5032350,-0.1449310,-2.0616300,0.0005219,-0.0010123,-0.7610850
0.7920000,-39.8924000,-43.3497000,0.7611490,-0.0013596,-0.0012044,0.0085109,-1.1265300,-0.3881340,1.4871700,0.0005092,-0.0010095,-0.7611490
